epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,4378.06,1.21398,0.87611,1.19989,0.78606,0.72727,0.79139,0.47065,1.34323,0.91674,1.27081,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4440.08,1.20072,0.85245,1.1938,0.78536,0.72655,0.79282,0.47161,1.34366,0.91411,1.27153,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,4502.17,1.19752,0.85018,1.18901,0.78674,0.72901,0.79493,0.47205,1.34553,0.91357,1.27346,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,4564.2,1.20224,0.85668,1.19413,0.79118,0.72828,0.79685,0.47225,1.34718,0.91187,1.2739,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,4626.21,1.18687,0.8453,1.18521,0.78747,0.72835,0.7951,0.47141,1.34695,0.90971,1.27456,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4688.12,1.18777,0.83809,1.1885,0.78811,0.72764,0.79454,0.47105,1.34853,0.91062,1.27447,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4750.45,1.18438,0.82921,1.18085,0.78736,0.7291,0.79454,0.47142,1.3506,0.90862,1.27564,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4812.28,1.18078,0.82713,1.17639,0.78687,0.73186,0.7941,0.47207,1.35051,0.91006,1.27549,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4874.21,1.17493,0.81369,1.17351,0.7873,0.73273,0.79502,0.47246,1.35013,0.90844,1.27572,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,4935.95,1.16699,0.80994,1.1696,0.78899,0.73531,0.79679,0.4728,1.35089,0.90528,1.27593,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4997.92,1.16799,0.80875,1.17304,0.78816,0.73652,0.79701,0.47241,1.35051,0.90582,1.27669,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5059.77,1.15504,0.8033,1.16379,0.7846,0.74025,0.79757,0.47209,1.35097,0.90353,1.27672,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5121.79,1.15842,0.79119,1.16501,0.78276,0.73875,0.79781,0.472,1.35108,0.90213,1.27704,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5183.74,1.15207,0.79534,1.16104,0.78376,0.74098,0.79907,0.47226,1.35224,0.90142,1.2777,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5245.91,1.14282,0.78181,1.15889,0.78078,0.74089,0.79806,0.47225,1.3513,0.89883,1.27701,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,5307.91,1.14052,0.77708,1.15437,0.79367,0.73184,0.79927,0.47197,1.3496,0.89743,1.27611,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,5370.04,1.13628,0.77373,1.15242,0.79056,0.73334,0.7996,0.47206,1.35044,0.89528,1.27615,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,5431.94,1.13281,0.76387,1.14702,0.79547,0.72772,0.79939,0.47184,1.35089,0.89504,1.27694,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,5494.04,1.11924,0.75689,1.14077,0.79638,0.72616,0.79917,0.47194,1.35055,0.89586,1.27724,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,5556.01,1.12297,0.75492,1.1404,0.79909,0.72336,0.7989,0.4715,1.35069,0.89403,1.27736,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,5618.17,1.11374,0.74987,1.13905,0.80348,0.72033,0.79815,0.47141,1.35078,0.89378,1.27774,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,5680.5,1.12773,0.69835,1.14686,0.79983,0.72276,0.79828,0.47107,1.35213,0.89166,1.27829,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,5742.23,1.10374,0.65907,1.12681,0.79904,0.72527,0.79815,0.47114,1.35211,0.89146,1.27876,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,5803.98,1.09078,0.6475,1.12073,0.79908,0.72573,0.79804,0.47121,1.35278,0.89137,1.27916,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,5865.73,1.08002,0.64147,1.11105,0.80102,0.72905,0.79855,0.47165,1.35381,0.89052,1.28023,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,5927.53,1.08013,0.63792,1.11113,0.80004,0.73147,0.79858,0.47192,1.35412,0.88802,1.2808,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,5989.36,1.06583,0.62561,1.09908,0.7955,0.73467,0.79822,0.47111,1.35519,0.88813,1.28195,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,6051.23,1.06263,0.61947,1.10296,0.79681,0.73224,0.79872,0.47186,1.35499,0.88673,1.28253,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,6112.99,1.04876,0.60902,1.09876,0.79613,0.73275,0.79791,0.47187,1.35621,0.88649,1.2834,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,6174.71,1.03926,0.60358,1.08846,0.79312,0.73407,0.79726,0.47159,1.35697,0.88471,1.28428,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,6236.57,1.03871,0.60276,1.09142,0.79254,0.73626,0.79705,0.47168,1.35767,0.88432,1.2852,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
